name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Xyris gardneri,Xyridaceae,Xyris,gardneri,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 26, Afd. 3, No. 19: 8, pl. 1, fig. 1. 1901 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1901,Brazil (Southern America),270059-2,NA,NA,www.ipni.org/n/270059-2,tax_nov,IPNI,NA
Xyris glandacea,Xyridaceae,Xyris,glandacea,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 50, pl. 3. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270061-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=50&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270061-2,tax_nov,IPNI,NA
Xyris glaucescens,Xyridaceae,Xyris,glaucescens,spec.,Repert. Spec. Nov. Regni Veg. 5: 103. 1908 ,Repert. Spec. Nov. Regni Veg.,1908,Brazil (Southern America),270062-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/232449&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270062-2,tax_nov,IPNI,NA
Xyris glochidiata,Xyridaceae,Xyris,glochidiata,spec.,Bradea 3(34): 277 (-278). 1982 ,Bradea,1982,"Bahia (Brazil, Southern America)",270065-2,NA,NA,www.ipni.org/n/270065-2,tax_nov,IPNI,NA
Xyris goyazensis,Xyridaceae,Xyris,goyazensis,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 3: 8, pl. 1, fig. 6. 1898 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1898,Brazil (Southern America),270066-2,NA,NA,www.ipni.org/n/270066-2,tax_nov,IPNI,NA
Xyris gracilescens,Xyridaceae,Xyris,gracilescens,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 3: 16, pl. 1, fig. 8. 1898 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1898,Brazil (Southern America),270067-2,NA,NA,www.ipni.org/n/270067-2,tax_nov,IPNI,NA
Xyris graomogolensis,Xyridaceae,Xyris,graomogolensis,spec.,Bol. Bot. Univ. São Paulo 27(1): 140 (-141). 2009 ,Bol. Bot. Univ. São Paulo,2009,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77104387-1,NA,NA,www.ipni.org/n/77104387-1,tax_nov,IPNI,NA
Xyris harleyi,Xyridaceae,Xyris,harleyi,spec.,"Bradea 3(34): 280 (-281), fig. 1982 ",Bradea,1982,"Bahia (Brazil, Southern America)",270069-2,NA,NA,www.ipni.org/n/270069-2,tax_nov,IPNI,NA
Xyris hatschbachii,Xyridaceae,Xyris,hatschbachii,spec.,"Proc. Biol. Soc. Washington 73: 248, fig. 3. 1960 ",Proc. Biol. Soc. Washington,1960,"Paraná (Brazil, Southern America)",270070-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1960&rft.spage=248&rft.volume=73&rft_id=http://www.biodiversitylibrary.org/bibliography/3622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270070-2,tax_nov,IPNI,NA
Xyris hilariana,Xyridaceae,Xyris,hilariana,spec.,"Ark. Bot. 22A, no. 15: 4. 1929 ",Ark. Bot.,1929,"Minas Gerais (Brazil, Southern America)",270071-2,NA,NA,www.ipni.org/n/270071-2,tax_nov,IPNI,NA
Xyris insignis,Xyridaceae,Xyris,insignis,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 44, pl. 1. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270073-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=44&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270073-2,tax_nov,IPNI,NA
Xyris irwinii,Xyridaceae,Xyris,irwinii,spec.,"Brittonia 70(1): 65, figs. 1-2. 2017 [dt. 2018; publ. 22 Sep 2017 (online)] (epublished)",Brittonia,2017,"Goiás (Brazil, Southern America)",77201807-1,NA,(english) doi:10.1007/s12228-017-9494-0,www.ipni.org/n/77201807-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-017-9494-0
Xyris itambensis,Xyridaceae,Xyris,itambensis,spec.,"Ann. Missouri Bot. Gard. 75(1): 355, fig. 1988 [31 May 1988] ",Ann. Missouri Bot. Gard.,1988,Brazil (Southern America),287118-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27277054&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/287118-2,tax_nov,IPNI,NA
Xyris jataiana,Xyridaceae,Xyris,jataiana,spec.,"Ann. Missouri Bot. Gard. 75(1): 357, fig. 1988 [31 May 1988] ",Ann. Missouri Bot. Gard.,1988,Brazil (Southern America),287119-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27277056&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/287119-2,tax_nov,IPNI,NA
Xyris jolyi,Xyridaceae,Xyris,jolyi,spec.,Brittonia 39(2): 298. 1987 ,Brittonia,1987,Brazil.,932196-1,NA,NA,www.ipni.org/n/932196-1,tax_nov,IPNI,NA
Xyris kralii,Xyridaceae,Xyris,kralii,spec.,Rodriguésia 61(1): 89 (-90; fig. 3). 2010 [before 15 Dec 2010] ,Rodriguésia,2010,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77112001-1,NA,NA,www.ipni.org/n/77112001-1,tax_nov,IPNI,NA
Xyris lacerata,Xyridaceae,Xyris,lacerata,spec.,Fl. Bras. (Martius) 3(1): 216. 1855 [15 Sep 1855] ,Fl. Bras. (Martius),1855,"Goiás (Brazil, Southern America)",319775-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135590&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi 11 May 2000] The LT. data from R. Kral, Fl. Ecuador 63: 33. 1999.",www.ipni.org/n/319775-2,tax_nov,IPNI,NA
Xyris laevigata,Xyridaceae,Xyris,laevigata,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 50, pl. 3. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270080-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=50&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270080-2,tax_nov,IPNI,NA
Xyris lagoinhae,Xyridaceae,Xyris,lagoinhae,spec.,"Bradea 3: 57 (-58), fig. 1980 ",Bradea,1980,"Bahia (Brazil, Southern America)",270081-2,NA,NA,www.ipni.org/n/270081-2,tax_nov,IPNI,NA
Xyris longiscapa,Xyridaceae,Xyris,longiscapa,spec.,"Kongl. Svenska Vetensk.-Akad. Handl. 24(14): 59, pl. 4. 1892 ",Kongl. Svenska Vetensk.-Akad. Handl.,1892,Brazil (Southern America),270091-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.issue=14&rft.spage=59&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/270091-2,tax_nov,IPNI,NA
