name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dioscorea gracilicaulis,Dioscoreaceae,Dioscorea,gracilicaulis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 216. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80827-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=216&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80827-2,tax_nov,IPNI,NA
Dioscorea hoehneana,Dioscoreaceae,Dioscorea,hoehneana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 538. 1921 ,Notizbl. Bot. Gart. Berlin-Dahlem,1921,Brazil (Southern America),80859-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1921&rft.spage=538&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80859-2,tax_nov,IPNI,NA
Dioscorea holtii,Dioscoreaceae,Dioscorea,holtii,spec.,Repert. Spec. Nov. Regni Veg. 42: 163. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,"Amazonas (Brazil, Southern America)",80861-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=163&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80861-2,tax_nov,IPNI,NA
Dioscorea itapirensis,Dioscoreaceae,Dioscorea,itapirensis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 190. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80873-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=190&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80873-2,tax_nov,IPNI,NA
Dioscorea kunthiana,Dioscoreaceae,Dioscorea,kunthiana,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 211. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,"Minas Gerais (Brazil, Southern America)",80881-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=211&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80881-2,tax_nov,IPNI,NA
Dioscorea lagoa-santa,Dioscoreaceae,Dioscorea,lagoa-santa,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 201. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,"Lagoa Santa, Minas Gerais (Brazil, Southern America)",80883-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=201&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80883-2,tax_nov,IPNI,NA
Dioscorea laxiflora,Dioscoreaceae,Dioscorea,laxiflora,spec.,Fl. Bras. (Martius) 3(1): 32 (-33). 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,"Bahia (Brazil, Southern America)",323916-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135473&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/323916-2,tax_nov,IPNI,NA
Dioscorea leptobotrys,Dioscoreaceae,Dioscorea,leptobotrys,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 218. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80896-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=218&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80896-2,tax_nov,IPNI,NA
Dioscorea lindmanii,Dioscoreaceae,Dioscorea,lindmanii,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 190. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,"Colombia, Brazil",80900-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=190&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80900-2,tax_nov,IPNI,NA
Dioscorea lundii,Dioscoreaceae,Dioscorea,lundii,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 198. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80910-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=198&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80910-2,tax_nov,IPNI,NA
Dioscorea macrantha,Dioscoreaceae,Dioscorea,macrantha,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 198. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80913-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=198&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80913-2,tax_nov,IPNI,NA
Dioscorea maianthemoides,Dioscoreaceae,Dioscorea,maianthemoides,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 188. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,"Goiás (Brazil, Southern America)",80916-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=188&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80916-2,tax_nov,IPNI,NA
Dioscorea medusae,Dioscoreaceae,Dioscorea,medusae,spec.,Phytotaxa 403(2): 132. 2019 [10 May 2019] [epublished],Phytotaxa,2019,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77197136-1,NA,"doi:10.11646/phytotaxa.403.2.6 The species is named D. medusae because of the shape and arrangement of its staminate inflorescences, short and dense, emerging all from the same axil (2–7 per node), resembling the snakes on Medusa’s head, the mythological Greek character.",www.ipni.org/n/77197136-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.403.2.6
Dioscorea melastomatifolia,Dioscoreaceae,Dioscorea,melastomatifolia,spec.,Bull. Misc. Inform. Kew 1916(8): 194. [12 Oct 1916] ,Bull. Misc. Inform. Kew,1916,Brazil (Southern America),80930-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1916&rft.issue=8&rft.spage=194&rft.volume=1916&rft_id=http://www.biodiversitylibrary.org/bibliography/62170&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80930-2,tax_nov,IPNI,NA
