name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Ouratea campos-portoi,116793,Ouratea campos-portoi,177500-2,Ochnaceae,Ouratea,campos-portoi,spec.,Repert. Spec. Nov. Regni Veg. 42: 262. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=262&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177500-2,tax_nov,IPNI,NA
Ouratea cauliflora,287470,Ouratea cauliflora,77140761-1,Ochnaceae,Ouratea,cauliflora,spec.,Phytotaxa 167(1): 120. 2014 [5 May 2014] [epublished],Phytotaxa,2014,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.167.1.8,www.ipni.org/n/77140761-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.167.1.8
Ouratea chrysopetala,86118,Ouratea chrysopetala,177505-2,Ochnaceae,Ouratea,chrysopetala,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 338. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=338&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177505-2,tax_nov,IPNI,NA
Ouratea cidiana,105628,Ouratea cidiana,306527-2,Ochnaceae,Ouratea,cidiana,spec.,"Novon 5: 197, fig. 1995 ",Novon,1995,"vic. Oriximina, Pará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/651725&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/306527-2,tax_nov,IPNI,NA
Ouratea claudei,105571,Ouratea claudei,77077302-1,Ochnaceae,Ouratea,claudei,spec.,"Fontqueria 55(39): 293 (-296; fig. 1, map). 2006 [22 Apr 2006] ",Fontqueria,2006,"Paraná (Brazil South, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);Bolivia (Western South America, Southern America);",NA,NA,www.ipni.org/n/77077302-1,tax_nov,IPNI,NA
Ouratea cordata,603204,Ouratea cordata,177509-2,Ochnaceae,Ouratea,cordata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 262. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177509-2,tax_nov,IPNI,NA
Ouratea cornuta,604071,Ouratea cornuta,177510-2,Ochnaceae,Ouratea,cornuta,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 260. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177510-2,tax_nov,IPNI,NA
Ouratea crassa,115385,Ouratea crassa,177512-2,Ochnaceae,Ouratea,crassa,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 262. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177512-2,tax_nov,IPNI,NA
Ouratea crispa,603201,Ouratea crispa,177517-2,Ochnaceae,Ouratea,crispa,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 262. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177517-2,tax_nov,IPNI,NA
Ouratea densiflora,116795,Ouratea densiflora,177524-2,Ochnaceae,Ouratea,densiflora,spec.,Bot. Jahrb. Syst. 30(2): 174 (-175). 1901 [2 Jul 1901] ,Bot. Jahrb. Syst.,1901,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=2&rft.spage=174&rft.volume=30&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177524-2,tax_nov,IPNI,NA
Ouratea discophora,31708,Ouratea discophora,177528-2,Ochnaceae,Ouratea,discophora,spec.,Arq. Inst. Biol. Veg. 4(1): 53. 1938 [Jun 1938] ,Arq. Inst. Biol. Veg.,1938,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.issue=1&rft.spage=53&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177528-2,tax_nov,IPNI,NA
Ouratea dorata,614259,Ouratea dorata,77194932-1,Ochnaceae,Ouratea,dorata,spec.,Syst. Bot. 43(3): 760. 2018 [10 Aug 2018] [epublished],Syst. Bot.,2018,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1600/036364418X697481,www.ipni.org/n/77194932-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697481
