name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Eragrostis polytricha,13214,Guadua leonardoana,77319436-1,Poaceae,Guadua,leonardoana,spec.,Phytotaxa 597(3): 209. 2023 [16 May 2023] [epublished],Phytotaxa,2023,"Pará (Brazil North, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.597.3.2 Etymology: name honours Leonardo V. C. Silva, known as 'Léo do Mel', discoverer of the type population and the first to collect samples of this species.",www.ipni.org/n/77319436-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.597.3.2
Eragrostis psammodes,281466,Guadua magna,77086384-1,Poaceae,Guadua,magna,spec.,Anais Seminário Nac. Bambu 27 (-32; figs. 1-3). 2006 ,Anais Seminário Nac. Bambu,2006,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,NA,www.ipni.org/n/77086384-1,tax_nov,IPNI,NA
Eragrostis rufescens,13216,Guadua pallescens,113757-2,Poaceae,Guadua,pallescens,spec.,Fl. Bras. (Martius) 2(3): 186. 1880 [1 Dec 1880] ,Fl. Bras. (Martius),1880,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135339&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/113757-2,tax_nov,IPNI,NA
Eragrostis salzmannii,615958,Guadua paniculata,113758-2,Poaceae,Guadua,paniculata,spec.,Trans. Linn. Soc. London 26: 85. 1868 ,Trans. Linn. Soc. London,1868,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1868&rft.spage=85&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/113758-2,tax_nov,IPNI,NA
Eragrostis scaligera,13217,Guadua paraguayana,316718-2,Poaceae,Guadua,paraguayana,spec.,Fl. Bras. (Martius) 2(3): 179. 1880 [1 Dec 1880] ,Fl. Bras. (Martius),1880,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135336&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 22 Nov 1998],www.ipni.org/n/316718-2,tax_nov,IPNI,NA
Eragrostis sclerophylla,32233,Guadua refracta,113761-2,Poaceae,Guadua,refracta,spec.,Trans. Linn. Soc. London 26: 84. 1868 ,Trans. Linn. Soc. London,1868,"Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1868&rft.spage=84&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/113761-2,tax_nov,IPNI,NA
Eragrostis seminuda,13219,Guadua tessmannii,113766-2,Poaceae,Guadua,tessmannii,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 10: 124. 1927 ,Notizbl. Bot. Gart. Berlin-Dahlem,1927,"Peru, Brazil",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=124&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/113766-2,tax_nov,IPNI,NA
Eragrostis solida,13220,Gymnopogon biflorus,115778-2,Poaceae,Gymnopogon,biflorus,spec.,Bot. Jahrb. Syst. 30(2): 139. 1901 [2 Jul 1901] ,Bot. Jahrb. Syst.,1901,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=2&rft.spage=139&rft.volume=30&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/115778-2,tax_nov,IPNI,NA
Eragrostis vallsiana,86832,Gymnopogon doellii,277867-2,Poaceae,Gymnopogon,doellii,spec.,"Bradea 5 (28): 314, fig. 1. 1990 ",Bradea,1990,"Distrito Federal (Brazil, Southern America)",NA,NA,www.ipni.org/n/277867-2,tax_nov,IPNI,NA
Eragrostis vernix,13223,Gymnopogon grandiflorus,115785-2,Poaceae,Gymnopogon,grandiflorus,spec.,Bol. Fac. Agron. Univ. Montevideo no. 103: 20. 1968 ,Bol. Fac. Agron. Univ. Montevideo,1968,"Uruguay, Brazil, Argentina",NA,NA,www.ipni.org/n/115785-2,tax_nov,IPNI,NA
Eragrostis villosa,281439,Gymnopogon swallenii,319275-2,Poaceae,Gymnopogon,swallenii,spec.,"Iowa State J. Sci. 45(3): 373 (-376, fig. 11). 1971 [Feb 1971] ",Iowa State J. Sci.,1971,"Rio Grande, Rio Grande do Sul (Brazil, Southern America)",NA,[Gandhi 26 Jan 2000],www.ipni.org/n/319275-2,tax_nov,IPNI,NA
Eustachys paranensis,111634,Hildaea parvispiculata,77194929-1,Poaceae,Hildaea,parvispiculata,spec.,Syst. Bot. 43(3): 747. 2018 [10 Aug 2018] [epublished],Syst. Bot.,2018,"Pará (Brazil North, Brazil, Southern America)",NA,doi:10.1600/036364418X697463,www.ipni.org/n/77194929-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697463
Eustachys swalleniana,283860,Ichnanthus adpressus,77129841-1,Poaceae,Ichnanthus,adpressus,spec.,Phytotaxa 104(1): 22. 2013 [29 May 2013] [epublished],Phytotaxa,2013,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.104.1.3,www.ipni.org/n/77129841-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.104.1.3
Gymnopogon biflorus,123504,Ichnanthus amplifolius,127447-2,Poaceae,Ichnanthus,amplifolius,spec.,"Los Angeles County Mus. Contr. Sci. no. 22: 4, fig. 2. 1958 ",Los Angeles County Mus. Contr. Sci.,1958,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/127447-2,tax_nov,IPNI,NA
Gymnopogon doellii,32242,Ichnanthus annuus,304091-2,Poaceae,Ichnanthus,annuus,spec.,"Novon 1: 179, fig. 3. 1991 ",Novon,1991,"Maranhao (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/636749&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/304091-2,tax_nov,IPNI,NA
Gymnopogon grandiflorus,111216,Ichnanthus attenuatus,127454-2,Poaceae,Ichnanthus,attenuatus,spec.,Phytologia 24: 408. 1972 ,Phytologia,1972,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=408&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127454-2,tax_nov,IPNI,NA
Gymnopogon swallenii,123502,Ichnanthus auriculatus,127455-2,Poaceae,Ichnanthus,auriculatus,spec.,Phytologia 11: 78. 1964 ,Phytologia,1964,"Goias &amp; Minas Gerais, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.spage=78&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127455-2,tax_nov,IPNI,NA
Leptochloa scabra,20399,Ichnanthus bacularius,127457-2,Poaceae,Ichnanthus,bacularius,spec.,Phytologia 11: 151. 1964 ,Phytologia,1964,"Espirito Santo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.spage=151&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127457-2,tax_nov,IPNI,NA
Leptochloa villosa,284377,Ichnanthus bradei,127460-2,Poaceae,Ichnanthus,bradei,spec.,Phytologia 24: 409. 1972 ,Phytologia,1972,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=409&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127460-2,tax_nov,IPNI,NA
Rheochloa scabriflora,106241,Ichnanthus brasiliensis,127459-2,Poaceae,Ichnanthus,brasiliensis,spec.,Phytologia 22: 98. 1971 ,Phytologia,1971,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1971&rft.spage=98&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127459-2,tax_nov,IPNI,NA
Spartina brasiliensis,87067,Ichnanthus brevipaniculatus,127462-2,Poaceae,Ichnanthus,brevipaniculatus,spec.,Phytologia 24: 410. 1972 ,Phytologia,1972,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=410&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127462-2,tax_nov,IPNI,NA
Sporobolus apiculatus,32360,Ichnanthus breviscrobs,127463-2,Poaceae,Ichnanthus,breviscrobs,spec.,Fl. Bras. (Martius) 2(2): 294. 1877 [1 Mar 1877] ,Fl. Bras. (Martius),1877,"Near Santarem, Pará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135124&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127463-2,tax_nov,IPNI,NA
Sporobolus camporum,13612,Ichnanthus camporum,127470-2,Poaceae,Ichnanthus,camporum,spec.,Phytologia 11: 149. 1964 ,Phytologia,1964,"Goiás (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.spage=149&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127470-2,tax_nov,IPNI,NA
Sporobolus exilis,103370,Ichnanthus cordatus,127482-2,Poaceae,Ichnanthus,cordatus,spec.,"Ark. Bot. 10, no. 17: 18, pl. 2, 6. 1911 ",Ark. Bot.,1911,Brazil (Southern America),NA,NA,www.ipni.org/n/127482-2,tax_nov,IPNI,NA
Sporobolus hians,13616,Ichnanthus damazianus,127483-2,Poaceae,Ichnanthus,damazianus,spec.,Repert. Spec. Nov. Regni Veg. 12: 385. 1913 ,Repert. Spec. Nov. Regni Veg.,1913,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/234578&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/127483-2,tax_nov,IPNI,NA
