name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Persea fulva,Lauraceae,Persea,fulva,spec.,Mem. New York Bot. Gard. 14(1): 28. 1966 ,Mem. New York Bot. Gard.,1966,Brazil?,190650-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.issue=1&rft.spage=28&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/190650-2,tax_nov,IPNI,NA
Persea fusca,Lauraceae,Persea,fusca,spec.,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 14. 1901 [12 Mar 1901] ",Bot. Jahrb. Syst.,1901,"Goiás (Brazil, Southern America)",190652-2,NA,NA,www.ipni.org/n/190652-2,tax_nov,IPNI,NA
Persea glabra,Lauraceae,Persea,glabra,spec.,"Kew Bull. 48(1): 25, fig. 1. 1993 [1 Apr 1993] ",Kew Bull.,1993,"Bahia (Brazil, Southern America)",300297-2,NA,NA,www.ipni.org/n/300297-2,tax_nov,IPNI,NA
Persea inaequalis,Lauraceae,Persea,inaequalis,spec.,Phytologia 1: 118. 1935 ,Phytologia,1935,"Amazonas (Brazil, Southern America)",190674-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=118&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/190674-2,tax_nov,IPNI,NA
Persea jariensis,Lauraceae,Persea,jariensis,spec.,Revista Brasil. Biol. 48: 956-957. 1988 ,Revista Brasil. Biol.,1988,"Pará (Brazil, Southern America)",304719-2,NA,NA,www.ipni.org/n/304719-2,tax_nov,IPNI,NA
Persea psammophila,Lauraceae,Persea,psammophila,spec.,Syst. Bot. 46(2): 281. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,"Bahia (Brazil Northeast, Brazil, Southern America)",77234926-1,NA,doi:10.1600/036364421X16231782047488 Etymology: the species name refers to its occurrence in a sandy area.,www.ipni.org/n/77234926-1,tax_nov,IPNI,https://doi.org/10.1600/036364421X16231782047488
Persea punctata,Lauraceae,Persea,punctata,spec.,Prodr. [A. P. de Candolle] 15(1): 50. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),325636-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157813&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/325636-2,tax_nov,IPNI,NA
Persea pyrifolia,Lauraceae,Persea,pyrifolia,spec.,Linnaea 8(1): 50. 1833 ,Linnaea,1833,"São Paulo (Brazil Southeast, Brazil, Southern America)",468196-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=1&rft.spage=50&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/468196-1,tax_nov,IPNI,NA
Persea rufotomentosa,Lauraceae,Persea,rufotomentosa,spec.,Syst. Laur. 153. 1836 ,Syst. Laur.,1836,Brazil (Southern America),325637-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1836&rft.spage=153&rft_id=http://www.biodiversitylibrary.org/bibliography/422&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/325637-2,tax_nov,IPNI,NA
Persea scrobiculata,Lauraceae,Persea,scrobiculata,spec.,Prodr. [A. P. de Candolle] 15(1): 50. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",468221-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157813&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/468221-1,tax_nov,IPNI,NA
Persea sellowiana,Lauraceae,Persea,sellowiana,spec.,Linnaea 8(1): 50. 1833 ,Linnaea,1833,"Paraná (Brazil South, Brazil, Southern America)",468222-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=1&rft.spage=50&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/468222-1,tax_nov,IPNI,NA
Persea stenophylla,Lauraceae,Persea,stenophylla,spec.,Prodr. [A. P. de Candolle] 15(1): 55. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),190759-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157818&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/190759-2,tax_nov,IPNI,NA
Persea tabacifolia,Lauraceae,Persea,tabacifolia,spec.,Prodr. [A. P. de Candolle] 15(1): 51. 1864 [May 1864] ,Prodr. [A. P. de Candolle],1864,Brazil (Southern America),282544-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/157814&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/282544-2,tax_nov,IPNI,NA
Persea venosa,Lauraceae,Persea,venosa,spec.,Linnaea 8(1): 50. 1833 ,Linnaea,1833,"São Paulo (Brazil Southeast, Brazil, Southern America)",468265-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=1&rft.spage=50&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/468265-1,tax_nov,IPNI,NA
Phoebe brasiliensis,Lauraceae,Phoebe,brasiliensis,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 198. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),193743-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=198&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/193743-2,tax_nov,IPNI,NA
Phoebe glaziovii,Lauraceae,Phoebe,glaziovii,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 216. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),193767-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=216&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/193767-2,tax_nov,IPNI,NA
Phoebe haussknechtii,Lauraceae,Phoebe,haussknechtii,spec.,Jahrb. Königl. Bot. Gart. Berlin 5: 186. 1889 ,Jahrb. Königl. Bot. Gart. Berlin,1889,Brazil (Southern America),193770-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=186&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/193770-2,tax_nov,IPNI,NA
Phoebe nunesiana,Lauraceae,Phoebe,nunesiana,spec.,Arch. Jard. Bot. Rio de Janeiro 15: 140 (-141). 1957 ,Arch. Jard. Bot. Rio de Janeiro,1957,Brazil (Southern America),282701-2,NA,NA,www.ipni.org/n/282701-2,tax_nov,IPNI,NA
Phoebe oleifolia,Lauraceae,Phoebe,oleifolia,spec.,Arbeiten Königl. Bot. Gart. Breslau 1: 117. 1892 ,Arbeiten Königl. Bot. Gart. Breslau,1892,Brazil (Southern America),193794-2,NA,NA,www.ipni.org/n/193794-2,tax_nov,IPNI,NA
Phoebe pauciflora,Lauraceae,Phoebe,pauciflora,spec.,Bot. Jahrb. Syst. 17(5): 520. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,Brazil (Southern America),193802-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.issue=5&rft.spage=520&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/193802-2,tax_nov,IPNI,NA
Phoebe rivularis,Lauraceae,Phoebe,rivularis,spec.,Rodriguésia 23-24: 254. 1964 ,Rodriguésia,1964,"Goiás (Brazil, Southern America)",193813-2,NA,NA,www.ipni.org/n/193813-2,tax_nov,IPNI,NA
Phoebe taubertiana,Lauraceae,Phoebe,taubertiana,spec.,Bot. Jahrb. Syst. 21(4): 427. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,Brazil (Southern America),193830-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=427&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/193830-2,tax_nov,IPNI,NA
Pleurothyrium amapaense,Lauraceae,Pleurothyrium,amapaense,spec.,"Mem. New York Bot. Gard. 15: 92, fig. 11. 1966 ",Mem. New York Bot. Gard.,1966,"Amapá (Terr.) (Brazil, Southern America)",203816-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=92&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/203816-2,tax_nov,IPNI,NA
Pleurothyrium krukovii,Lauraceae,Pleurothyrium,krukovii,spec.,Phytologia 1: 121. 1935 ,Phytologia,1935,"Acre (Brazil, Southern America)",203822-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=121&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/203822-2,tax_nov,IPNI,NA
Pleurothyrium nobile,Lauraceae,Pleurothyrium,nobile,spec.,Phytologia 1: 120. 1935 ,Phytologia,1935,"Amazonas (Brazil, Southern America)",203824-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=120&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/203824-2,tax_nov,IPNI,NA
Pleurothyrium parviflorum,Lauraceae,Pleurothyrium,parviflorum,spec.,Arch. Jard. Bot. Rio de Janeiro 5: 114. 1930 ,Arch. Jard. Bot. Rio de Janeiro,1930,"Amazonas (Brazil, Southern America)",203826-2,NA,NA,www.ipni.org/n/203826-2,tax_nov,IPNI,NA
Pleurothyrium prancei,Lauraceae,Pleurothyrium,prancei,spec.,"Ann. Missouri Bot. Gard. 80: 99, fig. 32. 1993 ",Ann. Missouri Bot. Gard.,1993,"Acre (Brazil, Southern America)",300389-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/27994319&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/300389-2,tax_nov,IPNI,NA
Rhodostemonodaphne capixabensis,Lauraceae,Rhodostemonodaphne,capixabensis,spec.,"Revista Brasil. Bot. 14(1): 79 (-81), fig. 1. 1991 ",Revista Brasil. Bot.,1991,"Espirito Santo (Brazil, Southern America)",284247-2,NA,NA,www.ipni.org/n/284247-2,tax_nov,IPNI,NA
Rhodostemonodaphne crenaticupula,Lauraceae,Rhodostemonodaphne,crenaticupula,spec.,"Fl. Neotrop. Monogr. 92: 57 (-59; figs. 12D, 13). 2004 [24 Aug 2004] ",Fl. Neotrop. Monogr.,2004,"Amazonas (Brazil, Southern America)",60441011-2,NA,NA,www.ipni.org/n/60441011-2,tax_nov,IPNI,NA
Rhodostemonodaphne negrensis,Lauraceae,Rhodostemonodaphne,negrensis,spec.,"Fl. Neotrop. Monogr. 92: 63 (-64; figs. 11, 16B). 2004 [24 Aug 2004] ",Fl. Neotrop. Monogr.,2004,"Amazonas (Brazil, Southern America)",60441014-2,NA,NA,www.ipni.org/n/60441014-2,tax_nov,IPNI,NA
Rhodostemonodaphne parvifolia,Lauraceae,Rhodostemonodaphne,parvifolia,spec.,"Fl. Neotrop. Monogr. 92: 70 (-71; figs. 13, 17D). 2004 [24 Aug 2004] ",Fl. Neotrop. Monogr.,2004,"Amazonas (Brazil North, Brazil, Southern America)",77075391-1,NA,NA,www.ipni.org/n/77075391-1,tax_nov,IPNI,NA
Rhodostemonodaphne peneia,Lauraceae,Rhodostemonodaphne,peneia,spec.,"Fl. Neotrop. Monogr. 92: 92 (-93; figs. 23, 27A). 2004 [24 Aug 2004] ",Fl. Neotrop. Monogr.,2004,"Amazonas (Brazil, Southern America)",60441020-2,NA,NA,www.ipni.org/n/60441020-2,tax_nov,IPNI,NA
Rhodostemonodaphne recurva,Lauraceae,Rhodostemonodaphne,recurva,spec.,Novon 10(3): 291 (-293; fig. 14). 2000 [12 Sep 2000] ,Novon,2000,"Manaus, Reserva Florestal Ducke, 2°53'S, 59°58'W, Amazonas (Brazil, Southern America)",320525-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641615&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 13 Nov 2000],www.ipni.org/n/320525-2,tax_nov,IPNI,NA
Rhodostemonodaphne tumucumaquensis,Lauraceae,Rhodostemonodaphne,tumucumaquensis,spec.,"Fl. Neotrop. Monogr. 92: 61 (63; figs. 11, 16A). 2004 [24 Aug 2004] ",Fl. Neotrop. Monogr.,2004,"Amapá (Terr.) (Brazil, Southern America)",60441013-2,NA,NA,www.ipni.org/n/60441013-2,tax_nov,IPNI,NA
Silvia decurrens,Lauraceae,Silvia,decurrens,spec.,Trop. Woods 42: 19. 1935 ,Trop. Woods,1935,Brazil (Southern America),285032-2,NA,NA,www.ipni.org/n/285032-2,tax_nov,IPNI,NA
Silvia polyantha,Lauraceae,Silvia,polyantha,spec.,"Bull. Herb. Boissier ser. 2, 5: 233. 1905 ",Bull. Herb. Boissier,1905,Brazil (Southern America),236501-2,NA,NA,www.ipni.org/n/236501-2,tax_nov,IPNI,NA
Silvia rondonii,Lauraceae,Silvia,rondonii,spec.,Bot. Arch. 6: 230. 1924 ,Bot. Arch.,1924,"Mato Grosso (Brazil, Southern America)",236502-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=230&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/51865&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/236502-2,tax_nov,IPNI,NA
Silvia synandra,Lauraceae,Silvia,synandra,spec.,Repert. Spec. Nov. Regni Veg. 16: 306. 1920 ,Repert. Spec. Nov. Regni Veg.,1920,"manaos, Amazonas (Brazil, Southern America)",236505-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/185940&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/236505-2,tax_nov,IPNI,NA
